"","prod","title","author","date","ver.purchase","format","stars","comments","helpful"
"1","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","👍","Federico Etchegoyen","January 16, 2018",1,"Silver",5,"👍",NA
"2","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Fast and capable, but more than a smartphone alone","M. Fitzhugh","December 2, 2017",0,"Gold",5,"I purchased an iPhone 8 64 GB from Ting after using an iPhone 5C for two years. I’m finding it super-fast and enjoyable to use. The screen is bright when it needs to be and dims well in the dark. It’s beautifully manufactured and Has a great camera that’s enhanced by really solid image processing built into iOS. Without doubt, the phone more expensive than it reasonably should be, but keep in mind that when you buy a high-end phone like this, you’re paying for more than the phone itself. You’re paying your part of the cost of running a global enterprise that vets the software available in the App Store for safety, provides a global secure text and voice messaging infrastructure, and invests constantly in developing the phone you’ll buy two to four years from today. Android phones are an awesome alternative, especially the mid-level phones that provide incredible hardware and software flexibility, often for as little as $250. But they’re not as joyful to use or as tightly tied to the Apple ecosystem. It’s a tough choice to make, but the good news is, it’s hard to go wrong. As someone who uses my phone all day long for a hundred different things, buying this phone was an easy call. If you just want a great smartphone and don’t care about the whole Apple universe much, then maybe look elsewhere.",15
"3","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","amazing phone seller overpriced!","pit apps","October 6, 2017",0,"Gold",4,"Amazing phone but the seller charges $30 more than the Apple store just go there to get it plus the warranty is better and you can always add Apple care if you choose!make sure to follow if you find reviews like this helpful!",78
"4","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Wish I hadn't upgraded from 6s.","hp1480","December 26, 2017",0,"Space Grey",3,"I traded up from a 6s ,and I wished I hadn't.It's constantly freezing.I switch to numerals or caps, and I tap and tap ,nothing happens.Not everytime ,but enough to annoy me.There are a lot of minor inconveniences to numerous to mention.I'm on Sprint .",1
"5","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","It'd be better if it comes with airpods","Minnt","October 19, 2017",0,"Gold",4,"Not very different from iphone 7, but an iphone is an iphone what can I say? It'd be better if it comes with airpods, I do need wireless earphone after earphone jack is removed. But anyways I'm happy with my Leophile wireless earphones, besides it is a lot cheaper",12
"6","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Five Stars","avery wirt-eaves","November 10, 2017",0,"Gold",5,"Truly a beautiful phone. Much better than expected. Extremely happy with this purchase.",9
"7","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","IPhone unlocked","Yamil Quesada Guevara","December 31, 2017",1,"Space Grey",5,"The IPhone is fully unlocked",NA
"8","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Five Stars","Francisco P","January 4, 2018",1,"Silver",5,"Great!",NA
"9","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","One Star","yulima","December 19, 2017",1,"Gold",1,"the phone was not working and it was not unlocking.",7
"10","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","One Star","Emil beleceiu","December 24, 2017",1,"Space Grey",1,"Missing item",6
"11","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Five Stars","Rafael Hong","January 13, 2018",1,"Silver",5,"EXCELENT",NA
"12","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","i'm commenting just like them. Iphones are reliable and have a nice ...","Kiyo Muk","December 24, 2017",0,"Space Grey",5,"I will be sincere. Since there are many Android fans here and nobody removes their worthless reviews, i'm commenting just like them.Iphones are reliable and have a nice camera. PERIOD.",3
"13","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","I like your iPhone","Lavell Lee","January 3, 2018",0,"Silver",4,"I like your iPhone, I'm wanting to know if I'm willing to test this product out though? Since it's has a low price and many reviews I would like to be one myself and tell you how your products are.",NA
"14","Apple iPhone 8 4.7"", 64 GB, Fully Unlocked, Gold","Five Stars","ifeanyi Onubogu","December 7, 2017",1,"Gold",5,"Arrived on time and as expected",1
