,stars,comments
0,5,"I have used iPhones since VZW started supporting them with the iPhone 4. Later upgraded to a 5S, then a 6 Plus. They continued to get better and better. The Plus increase in size was welcomed, but with a durable case became too bulky to comfortably fit it in your pocket. The iPhone X FaceID when initially announced was not a reason to upgrade, however the accuracy, performance, and form factor make up for a great phone. Perfect size and excellent performance and features."
1,5,I held off purchasing the iPhone X until I had a chance to read early reviews and spend some hands on time with the device. I love having a larger screen in roughly the same device size as my iPhone 7. I DO NOT miss the home button!
2,5,I waited for this version to come out and love the additional features. I would purchase again and recommend to friends
3,5,Love my phone. Amazing camera and apps. Highly recommend
4,1,"This phone isn't worth the price tag. You are paying for face ID, which isn't as good as touch ID."
5,5,"I was hesitant about FaceID initially, but now that I’ve had my iPhone for a couple of months I love it! It’s fast an easy to use, within a few days I was past the fingerprint unlocking and home button."
6,5,Faster. Better battery life. Larger screen. Con: closing applications are similar to an android. No issues with face recognition.
7,5,Love love love this phone it is everything I needed in a phone
8,2,"For the first time in my life Im actually entertaining Galaxy phones. The problem I have with the X is there is no Finger Print anymore. Im always on the go, I usually wear sunglasses and this affects the face recognition.So I have to stop, stair at screen then swipe or if fails , type in 6 digit code. The display is dull and generally I think my 6S Plus was more robust with clarity. The speakers are really good and the camera is well, B- or so. Video quality for youtubers might be ok as well. But Ive seen videos shot on S8 that are much clearer than my X can take video. The price also is ridiculous and not worth it. after 6 days of owning, Im taking it back and I will gladly pay the restock fee and either go back to my old 6S or try Galaxy S8+."
9,5,Great Phone. Replaced my iPhone 7 with the X. Nice camera.
10,4,"I enjoy how the phone is a large screen. The camera is amazing, I would enjoy it more if there was a plus but overall I love it."
11,5,"Danielle helped us with my iPhone x purchase. She was very knowledgeable about the product, very friendly and efficient."
12,4,Awesome phone.. but need the screen a bit bigger..
13,5,We love this phone. I phone never disappoints. Get one
14,5,Another great iPhone. The facial recognition to unlock it is great.
15,5,The phone took a little getting used to with no home button and the changes no home button brings! ....but now I love!
16,5,"With a bigger screen than the plus models and a smaller footprint. The new iPhone already had a lot going for it, then add wireless charging, face ID, and the new more powerful chip shared with the other models. You come up with the most advanced iPhone the world has seen. It feels good in the hands. A camera that has to be seen in action to fully appreciate the quality, agile transitions between apps, stereo speakers, and the apple eco system that unites all your apple devices all coming together to give you the experience that's worth the upgrade to the iPhone 10. I guess X really does mark the spot."
17,5,I am still getting used to the new phone but so far I love it. Having trouble right now getting emails but hope that can be fixed.
18,5,"This device is amazing, with so many great features."
19,5,The iphone X is a big step up from my iphone 7. I love the portrait mode additions and the face id is cool too! Love it!
20,5,This phone is awesome I didn’t think I would like the face rec features but it is cool...
21,5,Went into the store the morning of release just looking to upgrade to some 8+’s but someone in front of me didn’t want it because it was the wrong color so I snagged it. Battery and camera are great. Still learning all the “bells and whistles”
22,5,I really like everything on the new iPhone. So glad I upgraded
23,5,The iPhone X is the best phone I’ve ever used. The camera creates pictures similar to a professional photographer and the face recognition works even in the dark after the initial setup.
24,5,"Im an android guy, but I got this for my wife who is not so techy. She loves it and it works great. The technology is significantly behind android, but still a good phone."
25,5,Didn’t know how to feel with no home button but it’s refreshing
26,5,"IphoneX is living up to it's promise, my daughter loves it!"
27,5,The iPhone X is the best phone out there. The camera is great and the system is really smooth. Android fans could say wherever they want but the reality is just one. iPhone overall is the best!
28,5,I had a good experience with Apple iPhone X and it was great
