,stars,comments
0,5, Je me suis acheter le samsung s8 cheter vous et je suis trai conten et maime la livreson et trai rapide merci a l'equipe fnac  Avis complet  
1,5, Téléphone très correct fonctionne parfaitement depuis l achat jamais de beug aucun problème je le recommande très foetement  Avis complet  
2,3, Problème de volume sinon le produi en lui même est correct  Avis complet  
3,4, Belle et coûteuse technologie mais quelle qualité.  Avis complet  
4,5," Découverte de l'univers Android à travers le Galaxy S8 : l'univers Android n'est pas sans défaut mais je suis conquis par ce smartphone. Tout d'abord, l'extérieur excellent :qualité des matérieux et de l'assemblage, prise en main, robustesse ressentie, poids, IP68... Ensuite l'intérieur génial : mémoire disponible, réactivité du système, mémoire extensible, photographie, ... Vraiment si vous avez le budget je recommande!  Avis complet  "
5,5, Reçu en 10 jours parfait très bien emballer ! Trop contente d avoir eu un s8 pour 350 euros moins chèr qu' en France !!  Avis complet  
6,5, Venu du royaume unie. Parfait rien à dire et moins chere . Et adaptateur fournis  Avis complet  
7,5," Génial : très bonne qualité d'image, de photos, de vidéos... grande capacité, rapide. Il est simplement dommage que l'assistant bixby ne soit pas disponible en français.  Avis complet  "
8,5, ravie de ce téléphone. enfin une batterie qui tien la journée  Avis complet  
9,4, Il est facile à manipuler . Il a une très bonne qualité de photo  Avis complet  
10,5," Téléphone super à l'utilisation. Fluide, rapide, et cet écran est juste splendide. Vu le prix en même temps le contraire aurait été décevant.  Avis complet  "
11,5," J'étais habituer à mon vieux Galaxy note 3 mais arriva le moment de rendre l'âme du coup je me suis tourné vers le galaxy s8. Je suis fan ! Écran incurvé qui ne gêne en rien la manipulation, grand écran avec de très belles couleurs, photo magnifique et capacité immense. Je ne regrette pas du tout mon achat !  Avis complet  "
12,5," j'ai acheté ce tél en cadeau pour noel, très bien, beau design, facile d'utilisation. Beaucoup de fonctionnalités, un bel écran, de belles couleurs. Pas de regrets.  Avis complet  "
13,1," Bonjour, Malgré toutes mes tentatives de vous contacter je n'ai aucun retour de votre part. Je n'ai pas reçu mon téléphone. Dans l'attente de votre retour je l'espère. Cordialement,  Avis complet  "
14,5, Très satisfait du téléphone. La qualité de l'image et des vidéo est énorme. Photo parfait hormis pour ceux de face (moyen). Le soft Android embarqué est très intuitif. Délicat c'est la batterie en une journée et demi c'est mort. Je conseil vraiment pour la qualité. Malheureusement pas sympa de faire une promo juste après Noël !!  Avis complet  
15,5, recu dans les temps et en bon etat  Avis complet  
16,5," Super appareil, assez intuitif et simple d utilisation.  Avis complet  "
17,4, trés bon produit rien a dire recu en temps et en heure  Avis complet  
18,4," C'est un téléphone très attractif, de nouveau mode son apparu et de nouvelle fonctionnalité font leur apparition tout en gardent la base de Samsung se qui est très intéressant à manipuler  Avis complet  "
19,5," Le produit a mis une petite éternité à arriver ( direct dans ma boîte aux lettres, vu le prix je trouve que c'est un peu léger...) et j'ai été enchanté par ce que j'ai reçu : un emballage d'origine scellé, un téléphone sublime, lisse comme un galet, beau comme un camion. Prise en main parfaite.J'en suis encore à explorer ses multiples fonctionnalités.J'ai quitté mon super Galaxy note 3 sans regret, après avoir facilement transféré son contenu dans mon nouveau jouet.Que choisir le classe meilleur smartphone du marché et c'est bien mérité Bonne année à tous ! ...  Avis complet  "
20,4, Super téléphone! Le seul reproche est qu'il s'agisse d'un téléphone destiné à l'origine pour les Emirats arabes et que ce ne soit pas précisé dans l'annonce (chinoise). De ce fait la rom est prévu pour cette région et je me retrouve par exemple avec les dates du ramadan dans mon agenda sans que je puisse les retirer...  Avis complet  
21,5, Livraison impeccable et conforme  Avis complet  
22,5, Les photos dans le noir son magique je recommande ce petit bijoux  Avis complet  
23,5," Très satisfait de mon achat. rapide, puissant, un écran remarquable. Parfait !!!  Avis complet  "
