,stars,comments
0,4,its a great phone for watching videos and taking photos thats my usage but bluetooth connectivity lacks.
1,5,my iphone 8 plus is everything I expected it to be.
2,5,"switched from android to Iphone 8, i have no complaints its great and easy to use"
3,5,Very durable and phone can last for years with proper care.
4,4,my husband loves his iphone but I think I do prefer an android. nothing wrong with mine I think it is just preference. my husband went from a flip phone to his first smart phone and is very happy with the purchase even tho he doesn't use or need half of the capabilities of the phone.
5,4,"Don't like that there is no headphone jack and that the home button is non clickable but that is personal preference. iPhone is not really doing anything different, but it still works perfectly."
6,5,A nice combination of more storage and a better camera make this a great buy.
7,5,"Designed is strong, although phone appears thin..."
8,5,"Great camera, great storage, can't go wrong with apple products."
9,4,Seems to work very well. Screen is bright. Not much different than the 7. Hope it lasts longer.
10,4,"My phone will ring once in awhile, text message tone most of the time it don’t make a sound. Yes it’s turned on and up."
11,5,Wife loves this new Phone. Much bigger screen to read and play her games.
12,5,Second one I have bought. Does everything I need for it to do
13,4,"My first iPhone 8 Plus froze and needed exchange after 2 days!! Disappointing The new one is great so far, love the camera.."
14,5,"Nothing out of the ordinary, just a good working phone, dependable so far..."
15,5,awesome battery life; charges very quickly; love the easy sync to ipad and mac
16,5,This new iPhone 8 is faster and clearer than the 6S I traded for it. The extra features are so good you get addicted to the phone. The camera shoots really clear pictures with cool features. Highly recommended!
17,5,So far everything has been great in this phone. No issues
18,5,Great sales and service. Sales person Godfrey who helped me did a great job!
19,5,Great phone. Longer battery life. QI built in which makes charging easy-Good deal. I think Apple finally made their best phone.
20,5,"Two months so far with the IPhone 8, only complain so far is that the WIFI button it isn’t not on the quick settings bar."
21,5,"I'm very happy with this purchase, and was so worth getting this over the 10 for now"
22,5,This is an excellent phone. I had the 6 plus. Life forced me to get an new one. I’m not sorry I did.
23,5,Came in handy as a Christmas gift for my sons. It was on a BOGO OFFER. Bought a iPhone 8 plus n got the 8 free.
24,5,This phone is great. I upgraded to a plus this time and really like the bigger phone. I also like the software upgrades to iOS 11
25,5,I love apple products and I just moved up from a iPhone 7 to 8 plus. I love the bigger phone.
26,5,"Great upgrade, cool features, great camera, love Apple products"
27,5,"All the fun of the 7 plus but with a more expensive back panel! Joking aside, the phone is great, screen and speakers are bright and clear and the camera looks amazing! If you’re looking at the reviews it’s because you’re just not sure if you’re ready to upgrade or if it’s worth it...well, you are and it is! Stop reading and order yourself this phone or find a Best Buy and let the crazy fast mobile department work their magic!"
28,5,"All the fun of the 7 plus but with a more expensive back panel! Joking aside, the phone is great, screen and speakers are bright and clear and the camera looks amazing!"
29,5,A very nice phone. Just what you would expect for an Apple product.
30,5,"The iPhone rocks!! The battery life is much better than the iPhone 6. The wireless charging is so convenient, and there are no wires to break while charging."
31,5,My wife has been using Android for quite awhile and she finally got tired of some the issues that prevented her from using her phone. She is in love with her iPhone 8. She love the fact how she was able to intergrate all her Google apps.
32,5,Some new features from the iPhone 7 but what I like the most is that it is a faster phone .
33,4,"Overall, the iPhone 8 Plus was a good purchase, but not a great purchase. I noticed that while going online, the phone seemed slow at first until the next update and then it speed up."
34,5,"Finally moved on from my 4s, and I’m loving the size and features of this iPhone 8! The size is perfect for me - and photo quality is great for taking cute shots of the grandkids. It was well worth the cost, which wasn’t too bad - after the $100 off from Verizon, and the Best Buy deal for accessories helped a lot. So glad I made the leap, I’ve been looking for a while, and the sales guy at Best Buy sold me, by answering all my questions patiently, and making great suggestions."
35,5,Great case as always protects phone from accidents
36,4,Works the same but a lot more efficient. I stepped up from a iPhone 6 and it has been good so far. The camera was a definite upgrade and the apps work as they should.
37,5,Photos are bright and clear. There is plenty of storage as well.
38,4,Buy an iPhone X and get the iPhone 8 for free. Simple activation
39,5,"I lot to use Siri, and I really love the great camera. This phone has a bigger screen and is easier to read all my emails"
40,5,This is a great phone and I really like the new camera.
41,4,"Prefer the features, and operation of the Samsung Note 5 over the Apple Iphone 8. Not having a standard plug for earphones is inconvenient."
42,5,i love my new iPhone 6 plus! If your interested here is a link to my review and how to set it up in iTunes. https://youtu.be/zcg9zhC5EI0
43,5,Fantastic phone! This phone exceeds expectations. I would recommend to anyone!
44,5,"Absolutely love this phone. Fast, clear picture, and amazing camera. Ever since I left android in 2015 I’ve never looked back"
45,5,Best phone and camera features i would recommend this item.
46,5,I am very happy with my new phone.it works great and is very fast and good graphics
47,4,Far superior than other phones I have tried and returned. I have always had android up until now and I am I decided to go with the iPhone.
48,5,I had an iPhone 6 and it was really time for an upgrade!
49,5,"Overall great experience, phone is great love the camera"
50,5,"I got this phone for my sister, it's dang near perfect. Great screen and camera. No issues at all in the last few months."
51,1,Expected to get IPhone 8. But 8+ had a larger keyboard and easier for me text. Looking forward to the additional features.
52,5,"She was not expecting a new phone and was very, very happy with her gift."
53,5,"The battery life on the iPhone 8 is far superior from previous models. Full charge last almost 2 days even with the use of apps like music, maps, and safari."
54,5,I’ve always had Apple products. The iPhone 8 has been nothing but great. Not many new features over my 6s but faster and the camera pic quality is excellent.
55,5,My son loves his new iPhone 8. He is enjoying many of the new features on the phone!
56,5,"Battery life is great. The speed is also good as it does not slow down, it also has a good camera, decided to buy because it has the same A11 chip as the iphone X."
57,5,"We have always had iPhone until the Samsung Note came out. We switched brand because Samsung is always more affordable than iPhone. Anyway, this time we took the plunge & went back to iPhone and we couldn't be happier. The picture quality is superb. The voice clarity is magnificent. And surprisingly it was affordable this time for us through Best Buy. Will not turn our back on iPhone products again!!!!"
58,4,"I love the phone. The only reason I did not give it a five is because, there is not a speaker plug for a external speaker. I know most cars have connections. I still would of like to have been able to hook up a external speakers with a wire."
59,4,I got this because my iPhone 6s Plus has seen better days so I definilty needed an upgrade. It’s not much different form the iPhone 7 except for the glass back and wireless charging.
60,3,I’m happy so far. But I notice my phone freezes a lot. Not sure if it’s the phone itself or the OS.
61,5,Great phone that is user friendly and great screen!
62,5,"I’m furious at Apple for slowing down my iPhone 6 to the point of being unusable with OS11. They forced me to upgrade to the 8, but I must admit it is a very nice product."
63,5,"Love apple, the 8 has a lot of great features worth the upgrade"
64,5,This is my first smart phone and I think I made the right choice. I chose a IPhone because it is set up just like my iPad. Love the size of the iPhone 8. It’s like having a mini iPad. Kenneth at Best Buy was so helpful. I really appreciated his knowledge and patiences.
65,5,Upgraded from a 6. Response time is faster connecting to WiFi is quicker.
66,5,this is a great phone. iPhone is easy to use and syncs up easily with MacBook.
67,5,Apple 8 is worth the upgrade. A great camera and very fast
68,5,Response time is improved. Viewable area is clear.
69,5,The phone is a great size. The camera is amazing. The pictures are great quality
70,5,Nice service and great products. Product is working great as expected.
71,5,Phone has high quality and easy use even for my 12 year old!
72,5,My wife has always had a iPhone but this is her first plus. She absolutely loves it and the camera is great
73,5,I had the 6 but really like the screen size and camera on the 8.
74,4,Apple 8 plus although not the X is still a dependable device and made my teenager extremely happy. I feel the product is still a little pricey since its now considered outdated but overall still a good product.
75,3,This phone is almost the same as I phone 6 plus. Except it freezes a lot
76,4,Great phone. Worth getting ar Best Buy. Customer service was great as well.
77,4,Traded in my iPhone 6S for a new 8. Much better battery life. Still getting used to no headphone jack.
78,5,My daughter loves this phone & it’s great pictures!!!
79,5,I love the size & weight of this phone!!! It takes amazing photos.
80,3,It feels more like a S version of the iPhone 7. If your going to get a new phone and spend all the money you might as well get the X
81,5,Best Buy team did a great job setting up our phones
82,5,Although listed as gold it is more between gold and rose gold! Very nice phone and larger than the 8 which is what I wanted.
83,5,Seems to be a vast improvement from my iPhone 6s that was tending to drop calls. Great clarity and camera!
84,5,I love my new phone! I had an iPhone 6 previously and with poor vision was looking forward to a larger screen and larger keyboard! What a difference! Nice having more storage too. Battery life seems to longer as well.
85,5,This is a very nice phone.i can do thing my other phone couldn't do.
86,4,Love my new iPhone 8 Plus. It has a great battery life.
87,5,"Good Phone, My son love it, and is happy that he is back to a IPhone, He can now sync across from his mac and IPhone. Everything is in both places."
88,4,Works well take some getting used to the haptic button
89,5,"It was tough, but Finally got the wife to switch to Apple!"
90,5,Meets all my expectations. Big improvement over my previous phone.
91,3,Had several problems with the product. Phone don’t work properly
92,3,"I knew it so it’s my fault but this is just the same iPhone as before. I figured on getting the latest processor and all, but there’s no difference between this, the 7s, or 6s."
93,4,The camera is great! And the visual quality of the screen in general is very nice and clear. The downside keeping it from 5 stars is that it is remarkably heavier than my former iPhone 6 Plus.
94,5,I love my iPhone 8s it came just at the right time when I needed a companion
95,5,"Though sometimes apple is a little behind, love this version! Love the camera"
96,5,I upgraded from a 6s. The 8 has a better camera and faster
97,5,"What more needs to be said. Have had an iPhone since the EDGE days, grandfathered into unlimited data. Can’t quit if I tried"
