,stars,comments
0,4, Ne vois pas une enorme difference avec le iPhone 7plus  Avis complet  
1,5," un peu lourd car plus solide que le 6, mais fonctionne très bien, qualité d'image et de photos excellente.  Avis complet  "
2,4, J'ai acheté un téléphone la semaine dernière et les choses allaient bien  Avis complet  
3,5, Classe super génial appareil de communication  Avis complet  
4,5, Confort visuel et plus grandes capacités et récent. Processeur plus performant et je suis fidèle aux iphones.  Avis complet  
5,5, Très bon produit facile à utiliser parfait pour mon activité professionnelle et il fait de superbes photos  Avis complet  
6,5, Super je regrette pas ! si vous chercher un téléphone performant à prix raisonnable ne cherchez plus  Avis complet  
7,5, Rien de révolutionnaire niveau design mais les fondamentaux d’un bon appareil Par contre comme dab qualité Apple aussi bien extérieure qu’intérieure J’ai déjà oublié cet infâme androïd !!  Avis complet  
8,5, C’est mon premier iPhone (je passe de Samsung à Apple). Je le voulais depuis longtemps et je n’ai pas été déçue ?  Avis complet  
9,5," Excellent téléphone... merci Apple Autonomie au top. J'ai quitté le système Android, Je ne pense pas y retourner un jour. Beaucoup d'avantages quand on gère le hardware et le software en même temps  Avis complet  "
10,5, QUE DIRE??...Il est parfait...et sur tous les plans!  Avis complet  
11,5, J’ai pris ce tel et franchement la livraison a ete hyper rapide le tel est arriver 2 jours avant la date indiquée. Le colis etais solide et le telephone bien protégé dans sa boit avec ces accesoires ! Je recommande  Avis complet  
12,5, j'ai acheté ce portable en décembre. Je suis très satisfait.  Avis complet  
13,5, Tres bon article et recu le lendemain matin  Avis complet  
14,5, Super content de mon achat?????????????????  Avis complet  
15,5," Acheté suite à la casse de mon iPhone 6 et je peux dire que je ne regrette absolument pas ! Une super résolution d’ecran, une taille d’ecran Très agréable car permet de regarder des vidéos en très bonne qualité, un design très beau avec le dos de l’iphone Qui est en verre comme l’iphone 4 auparavant, il va sous l’eau, la batterie tient trois jours Oui trois jours !!!! Moi qui chargeait mon ancien iPhone tous les jours meme au départ. Inégalable chez les autres marques de téléphone portable. En un mot je recommande malgré’ le prix excessif mais c’est la qualité Apple. Le petit bémol c’est la prise Jack qui a été enlevée mais un adaptateur est fourni avec donc ça restera un petit bémol. Et un autre plus c’est la charge rapide du téléphone et la possibilité’ de le charger sur un chargeur QI. N’hésitez plus !!!!  Avis complet  "
16,5," produit Apple toujours à la hauteur, très satisfaite, bonne autonomie pour la batterie  Avis complet  "
17,5, Le fournisseur n'a pas respecté son délai de livraison. Aucune explication ni excuse reçues.  Avis complet  
18,5, Seul bémol le délai de livraison (1 semaine) mais c’etait En période de fêtes de fin d’année et pas trop long non plus. Je recommande !  Avis complet  
19,5, I Phone correspondant à la commande.  Avis complet  
20,4," produit conforme à l'image d'Apple. amélioration des outils, toujours agréable et utile  Avis complet  "
21,5, Je conseil vraiment cette iPhone moi qui est fan d’Apple je le recommande livraison en 1 jours ouvré aucun bug même fonction que le X alors pourquoi payer plus chère ? Tout y est dans ce 8 Plus !!!  Avis complet  
22,5, J'étais un peu sceptique sur la marque Apple mais c'est un très bon produit.  Avis complet  
23,5, J’ai acheté ce produit et c’est un produit parfait qui répond totalement aux attentes souhaitées.  Avis complet  
24,4," Je ne regrette pas mon achat, la batterie tiens longtemp  Avis complet  "
25,5, Je le recommande à tout le monde  Avis complet  
26,5," Évidemment pas déçu, je suis la plus heureuuuuuuse. La qualité des photos et tout simplement magique  Avis complet  "
27,5, J’ai offert cet article à mon conjoint qui en est très satisfait  Avis complet  
28,5," Quand on parle obsolescence programmé , pour me dépanner car mon iPhone 6 a pris un bain dans la piscine je me suis servis de mon iPhone 4 pendant 3 mois avant d'acquérir mon iPhone 8+ il a fonctionné à merveille  Avis complet  "
29,5, Acheter en remplacement d’u Galaxy A 7 fonctionne super Y a rien à dire c’ Apple  Avis complet  
30,5," J’ai acheté cette iPhone en début décembre et je ne suis pas déçu. La qualité photos et bonne, le téléphone tourne bien et la batterie à une bonne autonomie.  Avis complet  "
31,5, Je suis satisfaite de cet achat il est simple d’utilisation. Je l’utilise Pour des tas de choses personnelles et professionnelles. Je ne pourrai plus m’en passer! Plutôt contente de mon 1 ere iPhone je recommande cet achat! même si ça reste quand même un budget  Avis complet  
32,5, Je l ai offert à ma fille.elle en est très contente. Merci  Avis complet  
33,4, Ok mais il faut prendre en compte un delai de livraison de 15 j.  Avis complet  
34,5, Parfait bonne prise en main très très fluide. J’adore!  Avis complet  
35,5, Marche très bien aucun problème achat facile rapide Des vendeurs à votre écoute  Avis complet  
36,5, Très bon téléphone. Parfait pour mon usage.  Avis complet  
37,4, Conforme en tous points aux attentes !  Avis complet  
38,5," Correspond à mes attentes, excellente qualité  Avis complet  "
39,5, Ma fille est ravie de son nouveau jouet qui est très rapide et un petit ordinateur  Avis complet  
40,4," Bon appareil avec une très belle qualité photo! Ma fille est ravie, toutefois la base rechargeable est en supplément. À savoir.  Avis complet  "
41,5, tres bon mobile bon design belle couleur est pas trop gros de prise en main  Avis complet  
42,5, J’ai acheté cette article début du mois et il correspond parfaitement à mes attentes  Avis complet  
43,5, J’ai acheté cette iPhone 8plus car il a pas mieux  Avis complet  
44,4," Cette coque met parfaitement bien en valeur l’iPhone (en coloris or 2017 pour l’iphone 8 or). Seulement, pansant avoir commander une coque totalement transparente il y a des très petits points sur le transparent.  Avis complet  "
45,5," efficace , commande réalisée la veille et reçu le lendemain .  Avis complet  "
46,5, Je n’ai rien a dire il est juste parfait  Avis complet  
47,5," Je suis passé d'un iphone 5S a celui de l'iphone 8plus, une énorme différence, la mise en route n'a pas posé de problème d'un iphone à l'autre automatiquement, super produit, la finition, la résolution de l'écran sont top. Fonctionnement très performant et rapide.  Avis complet  "
48,5," Super satisfait du passage de l’iPhone 7 basique au 8 Plus. Le choix du blanc évite les traces de doigts sur le dos en verre. La prise en main est un peu plus sûre même si le téléphone reste assez imposant à une main surtout en cas d’ecriture. La fonction portrait de l’appareil photo est juste super sympa et la vidéo 4K est assez agréable. Sinon rien a redire, plus qu’a Tester la charge sans fil, pour le reste, cela reste du Apple.  Avis complet  "
49,4," Iphone conforme au descriptif et à mes attentes. Parait neuf, meme si on a tjs le doute du reconditionnement. Fonctionne très bien, rapidité, qualité photo top; il y a une vraie différence du 8 avec les iphones précédents. Seul petit bémol: livraison en 12 jours, délai annoncé non respecté, ce nest pas dramatique cest juste l'impatience d'avoir son nouveau ""jouet"". Mail au vendeur qui a répondu aussitot.  Avis complet  "
50,5, Que du bonheur prise en main facile et des photos superbes  Avis complet  
51,5, Produit tres jolie de bonne qualité et très bonne fonctionnalité  Avis complet  
52,5, cet iphone est le cadeau de noel de ma fille qui le dit superbe sur tout du 5s elle est passee au 8plus elle en est plus que ravie .pour le prix il n y a que 20e de difference avec la boutique apple mais on peut le payer en plusieur fois c est bien .  Avis complet  
53,4, Produit conforme a mes attentes. La livraison a ete extrement rapide.  Avis complet  
54,4, Mise à part quelques petits détails améliorés je ne vois pas de différence notoire avec le 6plus que j avais avant .... A si ... Le Prix ... merci Apple  Avis complet  
55,4," Très bien, un petit bémol : L'information sur l'expédition de la commande dans mon compte. Ceci n'est pas clair.  Avis complet  "
56,5, J’ai reçu le produit en deux semaines. Super!  Avis complet  
57,5," Livraison rapide, conforme à la description, excellent je conseille  Avis complet  "
58,5, Solide ne glissse pas des mains une autonomie de batterie parfaite téléphone hyper rapide plein de bonne chose je ne regrette pas mon achat  Avis complet  
59,5, Téléphone au top. Très bon produit.  Avis complet  
60,5, le produit correspond à mes attentes  Avis complet  
61,4, Dommage que les codes promo ne fonctionnent pas tout le temps....  Avis complet  
62,5, Très beau produit. Une qualité photo exceptionnelle. Une nette amélioration au niveau de la batterie.  Avis complet  
63,2, Bonjour alors moi mon téléphone depuis que je l’ai utilisé j’ai un problème de réseau et il fait un bruit bizarre et je sais pas quoi faire  Avis complet  
64,5, J'ai acheté cet article samedi 9 décembre et je suis très satisfaite.  Avis complet  
65,5, J’ai acheter le produits que je voulais avoir  Avis complet  
66,5, Rien à dire le téléphone est neuf ! Fonctionne très bien ! Les facilités de payement sont génial ! Aucun soucis avec le téléphone ! J’adore.  Avis complet  
67,5, Bon smartphone Dommage qu'il soit livré en IOS 12  Avis complet  
68,4, grand écran super et pratique bien en main  Avis complet  
69,5, Tres satisfaite excellent produit. Le plus beau design actuellement.  Avis complet  
70,5, Très satisfait ! Excellente qualité des photo  Avis complet  
71,5, Arriver vite et bonne qualité. Très contente et mon mari aussi vu que c est pour lui.  Avis complet  
72,5, Super iPhone je vous le recommande téléphone huit plus trop bien voilà il faut qui claque  Avis complet  
73,5, Absolument géniale surtout pour les addict à la marque. Juste un pur bonheur  Avis complet  
74,4, achat depuis 10 jours en remplacement d' un 5s pas de regret .peu de changement hormis la taille. toujours aussi intuitif.  Avis complet  
75,5," J’ai acheté ce produit en remplacement d’un iPhone 4S. La comparaison est multiple. Ergonomie, écran, le fonctionnement de l’emprent Digital et tant d’autres critères Je suis très satisfait de l’achat  Avis complet  "
76,5," les preuves d'apple ne sont plus à faire ! cet iphone 8 est un bijou , c'est comme avoir une technologie extra terrestre entre les mains. Que du bonheur, je ne regrette pas d'avoir choisis ce modèle gris sidéral et en paiement 4X sans frais ! un heureux Noel pour ma part....  Avis complet  "
77,5," Design, fonctionnel et surtout performant. J'ai pu récupérer toutes mes données, photos et vidéos.  Avis complet  "
78,5," Performances super, aucun beug ni de problèmes a signaler. Juste le système des écouteurs n’est pas super.. moi qui écoute énormément de musique ou appels que avec les écouteurs le faite de ne pas pouvoir le charger en même temps est un gros problème pour moi..  Avis complet  "
79,5, J’ai acheté ce téléphone il y a 2 semaines. Je le regrette surtout pas. Très agréable comme téléphone.  Avis complet  
80,5, J ai acheté cette article la semaine dernière et il répond à mes attente  Avis complet  
81,4, J’ai acheté ce téléphone le mois dernier et j’en suis ravie Rien à dire je ne suis pas déçue même si iPhone a quelques petites choses à améliorer  Avis complet  
82,5, Très très content de l'article il correspond parfaitement à mon attente  Avis complet  
83,5," Répond aux attentes, produit parfait mais bon ne change pas trop de mon ancien iPhone 6  Avis complet  "
84,5," -- Les plus -- La qualité iPhone : ça reste du haut de gamme donc difficile d'être déçu si on est habitué à iOS. Selon les habitudes entre Android ou iOS, chacun pourra se faire son avis. Cet iPhone 8 Plus possède l'écran le plus confortable de la gamme (excepté pour l'iPhone X qui possède la même surface). Qualité photo exceptionnel grâce au double objectif -- Les moins -- Néanmoins ça taille reste assez imposante en main : difficile de parcourir l'ensemble de l'écran à une seule main. L'appareil est assez lourd par rapport aux précédents (peut être dû au verre de chaque côté) La prise jack est toujours manquante... le dongle lightning->jack semble toujours assez fragile au niveau du câble si on utilise un autres casque filaire que le casque appel fourni. L'utilisation d'un casque ou d'écouteurs bluetooth semble quand même la meilleure utilisation  Avis complet  "
85,5, trés bon produit  Avis complet  
86,5," J'ai acheté ce produit il y a une semaine, je suis satisfait est j'adore votre magasin très admirable est votre service de caisse sont très gentils et sympa.  Avis complet  "
87,5, Ce téléphone correspond à mes attentes.  Avis complet  
88,5," fantastique ce portable, je le conseille aux clients  Avis complet  "
89,4, Habitue à l’ipad Je reconnais bien l’efficacite De l’iphon  Avis complet  
90,5, J’ai toujours prix iPhone et pas déçu du tout je le recommande  Avis complet  
91,5, Vraiment génial comme téléphone !  Avis complet  
92,5, Parfait rien a dire le service et tout en général ?  Avis complet  
93,5, Satisfait produit livré dans les temps  Avis complet  
94,5, Jamais été déçu part les iPhone de très bon téléphone un peut chère certes mais super  Avis complet  
95,1," L’appareil photo n’est pas tout à fait de ce que je croyais en terme de qualité d’une image, il aurait fallu plus de Mégas Pixels !  Avis complet  "
96,5, Je ame bien acheté le iPhone8 plus Je adoré prend comme cadeaux  Avis complet  
97,4, Poids un peu excessif mais acceptable néanmoins  Avis complet  
98,5, Très content de cet achat cette pas donne  Avis complet  
99,5," Fonctionne parfaitement bien , juste un détail si on prend l’iPhone 7 ces la même chose rien qui change apar un ou deux détail vraiment pas important ni util  Avis complet  "
100,4, Très bon produit A conseiller  Avis complet  
101,5, Super appareil photo beau Smartphone génial  Avis complet  
102,5, Très satisfait merci pour votre travail  Avis complet  
103,5, Je l’ai acheté il y a 1 semaine et j’en suis ravie  Avis complet  
104,5," Produit reçu en excellent état, je suis vraiment satisfait du délai de livraison de mon colis et la qualité de ce dernier. Vraiment, je recommande Materiel.net. Merveilleux, efficace et rapide...  Avis complet  "
105,4, Impeccable très bonne qualité pas du tout décu! Meilleur iPhone du marché  Avis complet  
106,5," Plus rapide que prévu , génial !!  Avis complet  "
107,5, Telephone genial je recommande  Avis complet  
108,5, Rien à redire bieeeeeeeeeeeeeeeeeeen  Avis complet  
109,2, C’est trop cher pour beuguer autant je suis dégoûté autant prendre un7  Avis complet  
110,5, Bon téléphone rien à dire de plus  Avis complet  
111,5, RAS TRÉS SATISFAITE DE cette offre Black friday article onéreux ayant bénéficié d’une remise de 70€  Avis complet  
112,5, Très bon produit le personnel et agréable et à l’écoute  Avis complet  
113,5," C’est un produit assez agréable en main, je suis ravi de l’avoir acheté. Il est plutôt satisfaisant. Et pour ce qui adore l’utilisation de l’iPhone je le recommande. Très beau desig’ D’ailleurs  Avis complet  "
114,4," Prise en main facile, de très bonne qualité et simple d'utilisation. Je le recommande très fortement  Avis complet  "
115,4, Pratique et joli design j’adore  Avis complet  
116,5, J’ai un peu peur que le 8 plus ne passe pas dans la poche de pantalon mais en fait ça le fait bien même assis. L’écran est exceptionnel et on se fait très vite à sa taille.  Avis complet  
117,5," Conforme à ce qu’on attend d’un iPhone : fluide, élégant, intuitif. Les photos sont magnifiques ainsi que la vidéo dont la qualité est bluffante. Le mode portrait reste à perfectionner car certains résultats sont vraiment décevants quand toutes les conditions d’éclairage ne sont pas réunies. A priori autonomie d’une journée avec un usage relativement intensif. Très content de ce produit dont la qualité justifie (presque) le prix. Prévoir le budget protection en conséquence, verre d’écran et coque car l’ensembke Est de toute évidence fragile.  Avis complet  "
