,source,product,comments,stars
1,Amazon,Samsung S8,"BEWARE!99% of the negative reviews are SELLER REVIEWS! People bought used products or from a private seller and got something not covered by amazon. BUY NEW, FROM AMAZON. If you don't know how to shop, I suggest you double check where the item is coming from in your cart and before you check out. PAY ATTENTION!After owning the phone long enough to be familiar with it, I thought I would leave a decent review outlining some of the pro's and con's, as well as some neutral's. My review is as follows: (see end comments about unlocked and verizon use - this phone is 100% unlocked!)Pro's:1. Very sleek design. Very nice screen and overall a great phone.2. The camera/video recorder is AMAZING. Simple as that. I took amazing outdoor and indoor (even in low light/no light) pictures. I am genuinely impressed and was not expecting it to be so good. (See last pic. Photo on phone was taken by s8)3. The pixel ratio/screen size. I got the s8 because I did not want a huge computer in my pocket, and it has plenty of room in it.4. Very fast. The processor even with battery settings set to a mid level (which can be changed to your personal preference) is still fast enough to do anything you can throw at it.5. RAM and Storage ration. Perfect. Plenty of ram to handle multi-tasking and plenty of storage to handle those 4k videos/pictures PLUS room to expand with SD storage, which is also getting much better and bigger. But 64GB entry level... eat your heart out apple.6. Great speaker! I mean wow... this thing get's loud. I was also not expecting such great sound. You will have no trouble hearing anything even in a loud environment. Seriously amazed here.7. Power saving/Battery life. Simply put, the AMOLED allows for some amazing battery life and the 3000mah batter holds up well. Very well. Much better than the iPhone.8. Fast charging. The lowest I have had the battery is about 60% and it charged in under an hour.9. AMOLED screen. As stated in #7, it helps with battery life but other than that, it has plenty of brightness and picture clarity. I also carified in #3 that the screen size and pixel ratio were simply stunning. You will notice this if you game alot or during those 4k picture zooms and probably much more on the s8+.10. Accessories and headphone jack. It has a headphone jack! lol. The accessories that came with the phone are great. A fast charging cable, a type-c to mini usb extension, and a usb to type-c extension as well. The headphones are simply amazing too. By far some of the best I have owned, as far as ear buds go, and you don't have to pay for good quality here. The material of them is great and they come with extra different size earbuds.11. Water resistance. While I have not tested it, and probably never will, it's a great feature. I still don't recommend dunking your phone.12. Pocket settings. There is an option to keep the screen off while in your pocket, or something like a purse. Simple as that. If you butt dial, you probably are not navigating the settings well enough. Keep in mind, android has A LOT of settings, and it would be wise to go through them all including the basic options that samsung offers.13. Widget size. You can actually adjust the size of every single widget, and fit more apps on the pages as well as the default home row. You can also change the lock screen apps, if you want any at all. I personally have a camera and the phone app on the lock screen, and keep all my apps on a single page, in folders, the weather, a google search bar with the mic button, and lastly a control panel for quick access to bluetooth and auto-sync buttons etc etc.. All on one page, with plenty of empty space. Half the screen is even still empty. Thank you so much for resizeable widgets.Neutral:1. Bixby button. The button is below the volume buttons, so nothing you can do there. However, you can disable bixby. Most reviews on here are failing to realize this and also failing to outline how. See the end of my review for simple instructions.2. Phone Length. I'll admit, it's pretty long. Maybe I am just to used to an older, smaller phone, but one handed operations is going to take some getting used to. Be mindful of the edges of the screen too. Too much palm and you will be scrolling. I do not see this as a negative still, just takes some getting used to and as outlined in the pro's section, the overall screen size is perfect.3. Edge lighting. A bit torn on this one. It seems cool, but is pretty much useless. It's basically a notification before the notification. So you would have to tap twice and then unlock as well. IMHO, it does look really cool, but SAMSUNG needs to give us more control over it.4. Always on display. This can also be turned off. I find it 100% useless, but not a negative by any means. I feel it can definitely cater to some users who enjoy always being able to look at their phone. I personally disabled it and honestly looked no further into it.5. Color settings. I have always disliked samsung's default colors. Especially on TV's. However, there is an option to change them to your liking. I chose the basic setting, but there is even an option to change balance which let's you arrange a set of liked color boxes, whites, and blacks to your liking and all kinds of other options for personal preference. It really is a great setting, however, it is a neutral and not a pro simply because they enable a very rich color by default. So I recommend changing this to suite your own eyeballs.6. The lock screen clock/theme settings. In order to change the lock screen clock, you have to register with samsung themes and install a theme, which can be somewhat custom. I did this, and the deactivated my account. The setting were retained and all is well. Still a neutral because I feel samsung should incorporate a way to change the lock screen clock by default to a couple preset clocks. The standard one IMHO, is ugly and not aesthetically pleasing to read.Con's:1. Typical android settings. Everything is always on. This is not a samsung issue, but android. I recommend going through every single option, and every single app to change every single setting. Sometimes, this can take the first week of owning an android phone to get right. This also almost always has a HUGE impact on battery life. There are settings in sub-menu's of settings. So please, NAVIGATE YOUR ANDROID SETTINGS! Your poor battery life is not due to this phone at all. It is due to negligence and laziness.2. ""Ok Google"". This seems to always be on, even when turned off in googles settings. I have a search bar and I have turned off all settings both in the phone and google, but for some reason if you say those two naughty words, it still comes up. However, if you do not set it up, it will only be asking you to set it up. Same thing as bixby almost, but this is a negative because I do not want my mic on. At all. I think samsung needs to address this before anything else, even the bixby issues some people are not liking or failing to change.3. All glass. The phone is not strong by any means. It does not feel like a cheap POS, but it is all glass. This belongs in the negative because most of us are drop prone, and even if you are not, it is very easy to make a mistake. Overall, it looks amazing, but there is no need for a glass backing too. I highly recommend you get a case, and if you are in fact drop prone, get a big durable case like an otterbox with a screen protector. The risk will always be there with all smart phones, but the s8 being all glass just seems pointless. That said, I have NEVER dropped a phone to a point where it broke (fingers crossed, knock on wood).4. The finger print scanner. What a stupid placement for a finger print scanner. Right next to the camera lense? come on... I personally do not use it at all, but if I did and wanted to take a picture, you would be cleaning your lense as soon as you unlocked it. Nobody wants to take an unclear photo because they used the finger print security feature. I like the Google Plus one, but feel that if any, Apple has the best one being in the home button.On a side note: THIS PHONE IS UNLOCKED. It can be used with ANY carrier. If you do not pay attention to who or where you buy it from, at least leave a sellers review instead of a product review. 99% of the negative reviews are this. Please pay attention and buy a new phone from Amazon only. I do not ever recommend getting a refurb on this kind of product, or buying from a private seller regardless of their rating. You just never know.As for Bixby, all you have to do is not set it up and hold the home screen like you are adding a widget, scroll to the left and hit the button to turn it off. This will not remove it, but will stop it from doind whatever crazy stuff these other reviews are talking about. I have had NO ISSUES with bixby, because I turned it off. Also, make sure you go through your settings, including the subsettings imbedded into android like background data usage etc etc and turn it all off. People having battery issues, I guarantee it is not the s8's fault. It is android and you would not get any better life with iOS for failing to go through your settings. GO THROUGH YOUR SETTINGS! every. single. one. Over and over for a week until you find every nook and cranny. There is a lot!Overall, this phone is amazing. The list of pro's, con's, and neutral's are simply my take and my opinion. I do recommend the phone. At least if you are in a position to think about it and can try it, go to a local store and pick one up on the display to play with it, but it's just not the same as owning it. I was torn between a google pixel xl and this one, but when this dropped in price it made my decision that much easier. I did like the idea of a bigger phone, however, I just kept thinking how big it would be in my pocket. So I went with the standard s8 and I am very happy I did. I do a lot of fishing, hiking, and outdoor stuff and 90% of the time, I TRY to keep my phone around me in my pocket in case of an emergency. Usually off, because where I go there is no signal anyways.Any review stating a mostly negative opinion, in my opinion, is probably a bit trollish or did not do any research and made an impulse buy. I think you can get used to this phone and if you are complaining about the things I have outlined here, the only one to blame is you. So give it a try, navigate ALL the settings, get used to android, and don't drop this phone lol! Thank you for reading.",5.0
2,Amazon,Samsung S8, So far the best phone I ever had. Man it's beautiful. Sleek design and powerful hardware. I did a comparison with my old phone and you certainly can feel that it's more powerful. I'm not used to it yet. But it does everything perfectly. The picture quality is superb. I love shooting video and it nails it in video quality and it does slow motion!! say whaaaat!! But sometimes it overheats under the direct sun when I record video but I think that is normal. I don't use the fingerprint sensor only because I can't find it. And the mono speaker under the phone is a downside which most of the time I cover it with my little finger and it's kinda annoying. Other than that it's freaking fast and top notch phone. I don't regret buying it .Make sure to check out the video and pictures and if my review was helpful please press YES for helpful. Thank you,5.0
3,Amazon,Samsung S8,"I was skeptical about buying this phone off Amazon instead of Verizon because the reviews were half good, half bad as far as activating it on the Verizon network.  My advice is dont go to the store and activate yourself on their website.  It takes just 5-10 minutes.  Just make sure to have a Verizon nano SIM card, I was able to use the one from my iphone 6.  Transfer your contacts, music etc on their app as well, it's very easy.  Other than that the actual phone is great.  Very sleek looking phone.  This phone is $756 at Verizon and they try to sell their payment plan to you but I would much rather pay the cheaper Amazon price and keep my phone bill lower.  If you're on the fence like I was I hope this review can help you out.",5.0
4,Amazon,Samsung S8,"This phone should be a no-brainer. Easily the most stunning display ever on a phone, great specs, Samsung Pay, expandable storage, and waterproofing SHOULD make this the best phone on the market. Enter Samsung's software. While Touchwiz isn't nearly the raging dumpster fire it was back in the S4 and S5 days, there's still a lot of extras that most will consider junk. Chief among these is Bixby. Have you ever wondered what Siri would be like if it were dumber and had a dedicated hardware button? That's Bixby. Not content to let Google do the heavy lifting, Samsung's MO continues to be creating inferior versions of services already offered by Big G. Want to remap that button to something actually useful? Too bad. Samsung keeps patching the phone in order to force their bloatware down your throat. As it is, that's a dead button that you'll press once out of curiosity, and a few dozen times while trying to turn down the volume. One other annoyance of note is the horrible placement of the fingerprint scanner. There's just no excuse for this one.Overall, it's a great phone that's held back by Samsung's usual goofball decisions.",3.0
5,Amazon,Samsung S8,"I haven't owned a Galaxy phone since the Galaxy Nexus.I've always felt that Samsung's Touch Wiz UI was too gimmicky and looked cartoon-ish.This is my 5th phone in the last 6 months. I was coming from a Nexus 6P, One Plus 3T, Axon 7 and LG V20.I really liked the LG V20 for it's cameras and the Axon 7 for it's front facing speakers. The 6P and One Plus 3Twere so smooth. But I decided to trade it all in for the S8.I was initially going to get a Google Pixel, but prices were still high and besides the camera, not much appealed to me.The S8 is a damn sexy phone with over 80% of the front being the screen. I like the size. Fits perfectly in my hands.I don't think I will go back to a 6"" phablet phone. The screen is vibrant. The clear flip cover case works well with it too.Touch Wiz has been toned down from what I remember, but there is still a lot of bloatware, which I quickly disabled.I guess I like all the screen shot options this phone has to offer. You take screen shot many ways, annotate, make gifs, etc.Charging is pretty fast and the battery lasts me all day. The included headphones are really good. Can't go wrong with AKG. They look cheap, but they sound superb. I'm using Face Unlock, it's really fast. I have my finger print set up too, but face unlock is faster and more convenient. I guess someone can always hold up a picture right? (Haven't tried it yet) The finger print sensor takes a little bit to get used to. My finger naturally goes to the where the camera is located and you need to fully press on the sensor to get it to unlock.They should move the camera to the corner like some phones.USB-C is awesome.Bluethooth 5 is Awesome. You can now stream to 2 separate bluetooth speakers at the same time (one will have a slight delay though).I have a few gripes.Even though it has a F1.7 aperture the camera is not wide angle. It does take really good pictures and videos.My other gripe is the single speaker. C'mon... it's 2017.... all Flagship phones should have stereo speakers.Get rid of Bixby. Let us just use Google Assist.By default the phone display is set to 2220X1080, which is fine for me. You can always set it to WQHD (2960X1440). I'm not sure how much more battery the phone will be using if you did. I still like that Samsung lets you put a SD card it it and it comes with a OTG adapter so you can plug in other USB sticks too. The Edge panel is just ok. Still getting used to it. I can live without it.This phone has tons of other features too, but I'm not going to list them all. Overall, it's the best smart phone I've ever owned. Hopefully it holds up well over the next 2 years.",4.0
6,Amazon,Samsung S8,"I've been getting Samsung phones since the Galaxy S1. But when I got this phone the Bixby feature was a minor problem. After a month its gotten even more annoying the fact Bixby would come up and whats worse, is we can NOT reprogram or disable that button. Later on I realized there was a lot of other crap-ware Samsung was forcing on us that would popup up as well. The worst was when I wanted to take a video and yours truly Bixby vision came up and I missed the shot. There are other problems but all were minor what bothers me is the amount of small problems. Unless in the next Galaxy Samsung stops forcing crap-ware onto their phones this is the last Samsung phone I would ever get.",1.0
7,Amazon,Samsung S8,"Amazing phone. Just about every thing of this phone is better than the top end of iPhones. Better screen. More memory. Expansion slot. Better form. +Fingerprint sensor. Great iris sensor, and a good face detection. Better software controls because unlike iOS, android gives you a lot of control over so many aspects of user experience.I used to be an iPhone user for many years but finally got bored of the lackluster hardware, and being dictated what I should want from my phone. I use a standard ear phones, and expect my phone to honor my wishes.",5.0
8,Amazon,Samsung S8,"I ordered this on Black Friday and after waiting a few weeks it arrived. I didn't expect to actually enjoy an Android based phone, but I was pleasantly surprised. My carrier fully supports this phone and I consistently get maximum speeds in my city (150/20). At home I get gigabit wifi. It was a little weird to look at the curved sides, but I got used to it after about 2 days. I highly recommend the OtterBox Defender case because this phone, like many others, is a bit too thin for large hands.",5.0
9,Amazon,Samsung S8,"Nice size, getting used to it's function. Just a bit different from my Windows phone, which was very easy to use, just very buggie after the recent OS update. Nice display, quick function, just a bit of a challenge to navigate around the phone. Imbedded apps are a pain, and slow the phone down. Google got it right with their Pixel 2. Aftermarket products are hit-or-miss for the S8, as many cases for this aren't very snug-fitting. READ the reviews for cases and accessories. Some really suck.",4.0
10,Amazon,Samsung S8,"1.- I bought the ""Phone Only"", this Amazon description makes it look or sound like you are buying a phone on a plastic bag or something,  but it comes in a nice box, with AWG (?) headphones, a pair of extra ear plugs, wall charger with USB cable, a USB adapter and a tool to pop up the phones SD/SIM card comparment.2.- A regular USB micro cable will not fit, but it comes with an adapter.It feels really good in my hand, I bought a Zizo Bolt case that comes with a glass protector.(see pics)More to come later , but I'm a Samsung guy, so I know what to expect, but I'll post an update once i get to use it a little bit more.",5.0
11,Amazon,Samsung S8,"Love the phone.  The all glass aspect and some of the reviews alarmed at first but after using it with a good case for minimal coverage but maximum protection it is all good.  The phone has great features and new technology, the screen is wonderful, video’s are a whole new experience, great speaker, good speaker just can’t say enough about this wonderful product.",5.0
12,Amazon,Samsung S8,The phone itself works fine with great colors and reasonably fast. Take excellent pictures and videos and all in all would buy it again. My biggest negative is that for some reason within two weeks of having this phone it crashed and unfortunately I had just taken about 60 pictures that day which never made it to the cloud and I lost them all. Very disappointing.,4.0
13,Amazon,Samsung S8,"I upgraded to this phone from a ZTE Zmax Pro.  This phone is incredible to any phone I have ever had.  It is very fast and reliable.  It's very well build and sturdy.  I had problems with other phones in my area with my carrier and with this phone, I have not experienced any issues with my signal.  Highly recommend.",5.0
14,Amazon,Samsung S8,I am extremely satisfied with this phone. Had no issues activating it with my current Verizon account. Just went to the retailer for a free SIM card and they set everything up. One thing that I wished I had known prior to purchasing this was that with an unlocked phone you will  not have voicemail notifications. This is software that is installed by carriers onto the carrier specific phones. The only way you will know if you have voicemail is to call your mailbox. There are some apps available to download so this really isn't an issue. I just wish I had known about this so I wouldnt have missed some messages.,5.0
