"CommentBox_Content","CommentBox_Date","CommentBox_Rating"
"I was pretty excited to get the phone, but was also hesitant. I was going from a 6S to the X and was worried that it may be too much of a big change for me to get used to with it having no home button.
After having the phone now for over a week, I am happy to say that I have been having a great experience with it so far. I had very little issues with switching to it. No problem at all with Face ID.
The only thing I am not really a fan of is changing to app view and closing the apps out. I find it to be a bit of a time waster compared to how it was with a home button.
One of my favourite features is the camera. I am really liking the quality of the photos, especially those that are taken in Portrait mode.
I am very happy with this phone.","2017-11-15","5"
"I would love to receive an iPhone X. I have tried this product out at my closest Apple store and it is amazing.The screen feels absolutely smooth. Lack of a headphone jack sucks but if you buy it it comes with wireless EarPods and a dongle.This is my #GiftCrush.","2017-12-26","5"
"","2017-12-09",""
"BEST PHONE IVE EVER HAD!!!
Face ID is great!
Animoji now that's on a whole new level of cool!!
you'll have to find out the rest of the features yourself!!!
the $1000 price tag is worth it
if i could give it a grade id give it a A+++++++++++ (if possible)
get it !!!
Apple iPhone X","2018-01-08","5"
"This is the items that I would I love to have the phone I have right now is
An 5 s which as you can tell is pretty old and kind of outdated. I would really like the iPhone X because it take amazing pictures for Instagram and Snapchat ! The camera quality is much better and it comes in some nice colours.!!","2017-12-20","5"
"Love all things Apple. I love how they make it easy to connect all of your devices together to share documents, apps and photos. If I had one bad thing to say about the products is that they are a little expensive otherwise I would recommend anything Apple to anyone","2017-12-10","5"
"Iphone X from Apple is an amazing innovation to the smart phone world. With its performing camera and it’s face recognition the sky is the limit to what this phone can do. A great gift for the holidays or a great gift to receive 😍","2017-12-13","5"
"Wow, this phone is amazing. It took me a day to get use to the phone. I had to watch the tutorial online and it helped a lot. This phone is expensive though but to me it’s worth the money.","2017-12-04","5"
"I don't see the problem with the iPhone x. It has an amazing face ID sensor which saves time. It is almost the same as the iPhone 8:/ very pricey. Great camera quality","2017-12-05","4"
"Good lovely 😍 it is really so nice
It is really good
Fabulous، Unmatched product، Thanks to the inventor.","2017-12-29","5"
"My name is Mahmoud Mostafa a channel review website that focuses on beauty and fashion and a blog website review website that focuses on tech gadgets . Our Youtube Channel can be viewed at the following link. We have been reviewing the latest and greatest technology since 2010. We have over 5,000 subscribers on our mailing list and I have reviewed products from companies such as. We just came across your product,iphone X and love the clean design and unique function. I feel it would be a great fit for our SUBSCRIBERS of tech savvy people who love these type of products. If you would be willing to send me a sample of iphone X I would be able to put together a honest blog post review of the product on ourCHANNEL . I will include the product URL and price at the end of the blog post so people know where to purchase it from. If you are interested in offering my viewers a discount or promotional code I would be happy to include that in the blog post . Once the review is complete I will run a competition for my subscribers to win the product, that is unless you would prefer I send it back to you which I am happy to do.If you require any additional information I would be happy to provide it.My mailing address and contact details are below.Thank you for your time","2017-12-17","5"
